Feature,Count
L1.Frame_Length,126
L1.Timestamp,126
Ethernet.dst,126
Ethernet.src,126
Ethernet.type,126
UDP.dport,114
UDP.sport,114
UDP.chksum,114
UDP.len,114
IP.len,88
IP.tos,88
IP.ihl,88
IP.version,88
IP.id,88
IP.flags,88
IP.frag,88
IP.ttl,88
IP.dst,88
IP.src,88
IP.proto,88
IP.chksum,88
IP.options,88
IP.flags.DF,59
IP.flags.,29
IPv6.version,26
IPv6.tc,26
IPv6.fl,26
IPv6.nh,26
IPv6.plen,26
IPv6.hlim,26
IPv6.src,26
IPv6.dst,26
ARP.hwtype,12
ARP.ptype,12
ARP.hwlen,12
ARP.plen,12
ARP.op,12
ARP.hwsrc,12
ARP.psrc,12
ARP.hwdst,12
ARP.pdst,12
