Feature,Count
L1.Frame_Length,200
L1.Timestamp,200
Ethernet.dst,200
Ethernet.src,200
Ethernet.type,200
UDP.dport,170
UDP.sport,170
UDP.chksum,170
UDP.len,170
IP.len,119
IP.tos,119
IP.ihl,119
IP.version,119
IP.id,119
IP.flags,119
IP.frag,119
IP.ttl,119
IP.dst,119
IP.src,119
IP.proto,119
IP.chksum,119
IP.options,119
IP.flags.DF,66
IP.flags.,53
IPv6.src,51
IPv6.dst,51
IPv6.fl,51
IPv6.hlim,51
IPv6.nh,51
IPv6.plen,51
IPv6.version,51
IPv6.tc,51
ARP.hwtype,30
ARP.ptype,30
ARP.pdst,30
ARP.psrc,30
ARP.hwdst,30
ARP.plen,30
ARP.op,30
ARP.hwlen,30
ARP.hwsrc,30
