Feature,Count
TCP.Flags.RST,8
TCP.Flags.FIN,20
IP.Options,22
TCP.Flags.SYN,70
TCP.Options,94
IP.Flags.DF,159
UDP.Header,195
TCP.Flags.ACK,309
