Feature,Count
L1.Frame_Length,200
L1.Timestamp,200
Ethernet.dst,200
Ethernet.src,200
Ethernet.type,200
UDP.dport,139
UDP.sport,139
UDP.chksum,139
UDP.len,139
IP.len,130
IP.tos,130
IP.ihl,130
IP.version,130
IP.id,130
IP.flags,130
IP.frag,130
IP.ttl,130
IP.dst,130
IP.src,130
IP.proto,130
IP.chksum,130
IP.options,130
IP.flags.DF,114
ARP.hwtype,60
ARP.ptype,60
ARP.hwlen,60
ARP.plen,60
ARP.op,60
ARP.hwsrc,60
ARP.psrc,60
ARP.hwdst,60
ARP.pdst,60
IP.flags.,16
IPv6.version,10
IPv6.tc,10
IPv6.fl,10
IPv6.plen,10
IPv6.nh,10
IPv6.hlim,10
IPv6.src,10
IPv6.dst,10
